engine_size,horsepower,weight,cylinders,age,turbo_pressure,fuel_octane,drivetrain_ratio,compression_ratio,aerodynamic_drag,tire_width,ambient_temp,altitude,ethanol_blend,targets
2.240392285331451,241,2075,4,12,0.7566019072926562,87,2.5494309290430692,9.304533698334765,0.24728514487311834,198,29.326721792246385,19,15,29.90855418374064
1.3993468090978556,235,1703,8,30,0.0,87,4.008856692775527,9.690511926140564,0.2971555735982158,183,-5.217561440836242,40,10,17.72311910630699
2.6186473832644324,386,1635,8,10,0.0,87,4.139015244390536,9.683481857459027,0.3151501326286341,221,44.32733559379599,166,0,24.26787548936344
2.798819302962844,142,900,4,14,0.0,91,3.320553403969013,9.650043347853329,0.3504418504754115,187,33.39065815657188,293,10,38.3148026744912
1.0172853765738539,441,1451,8,13,1.1527224502488556,93,3.955068037447983,10.4049195067499,0.36662271615554404,237,21.980903752898346,637,85,23.643709869360993
1.2766470802910597,157,2039,8,2,1.6309713585633365,89,3.729097306145291,10.461886841713545,0.3786671473924003,208,16.673796848723494,318,85,15.837797373168176
2.1059025521521897,232,1953,4,6,1.2820232423794709,87,2.436555602290783,11.091606755042047,0.37637487531220504,228,17.32660283455248,398,85,21.025599492942423
1.8027532735536267,270,1423,4,5,0.9958082705092948,93,4.891594394768091,10.952417017332369,0.3558089799454678,290,17.105302053772828,125,10,35.26937058498645
2.0019457745232803,168,1926,6,9,0.0,93,4.180977485730896,11.811761778289508,0.2885797593128384,274,-1.928120087426631,1613,0,31.62963589459983
1.4939664431029687,155,2049,6,0,0.9377644710361446,91,3.4334919692100416,10.648968113134321,0.27756692169269653,249,17.9788881682467,274,10,30.114613883484363
2.7395379949523755,223,1445,6,5,1.4549019114431294,87,3.238347376838936,9.474190522129662,0.28763167666861933,240,19.17638400972568,793,85,19.481139751273812
2.6438261770198923,293,1961,3,3,0.0,89,4.124835189100433,9.990759275831822,0.22526029556078206,208,24.31889856548966,111,0,32.37831303129913
2.0608339771400366,323,1945,6,20,1.3866025551772672,93,2.532337875448526,11.097894404151933,0.26744090168432877,186,25.02611675368859,36,0,31.05289277477894
2.987791310930714,148,1793,10,28,0.0,89,3.9334816143460163,10.665188066153865,0.3300253712900447,245,32.62500642039788,766,10,16.26449505659093
2.3717504518121726,219,1827,4,4,1.4393122988917293,87,3.9844756193607958,11.180061047305509,0.32008302493949675,209,17.361739517368875,227,10,23.76542922204317
1.4907027275312452,128,1194,4,4,0.0,91,3.9563444714823968,10.424326444619686,0.24437994646706768,239,22.39320163012678,287,0,37.100034864330084
2.291170390199632,169,1774,6,17,0.0,89,2.7810436420931133,10.09453929918593,0.3320016123099626,204,20.18949313077603,336,15,31.065544721489104
1.439637131343299,358,1456,4,0,1.474158714827218,93,2.7465412121089106,10.19302603012266,0.32694183923331877,228,26.802376588062753,643,0,34.5002835278961
2.738629479932155,264,1183,4,2,0.0,91,2.7901954618266704,8.882974148531327,0.2775837000831154,227,14.135263291568048,808,10,31.962223328687237
1.9788699137892292,174,2032,4,1,0.0,87,3.322668328148517,8.597199012426252,0.3109856119764067,198,32.39453956968904,4,0,29.467268309301584
1.8875848839503215,344,1458,4,10,1.4591669973666435,91,3.429897204888774,10.863520818347817,0.3444007338074591,279,22.42465009594946,191,10,31.904953318668767
1.586728991972388,182,1582,6,7,0.0,87,3.174783899898535,11.019079259675252,0.3090736094072146,214,4.039572722516006,76,85,24.614080857177612
3.089129909389375,230,1549,4,12,0.8360095334613802,87,3.0732484218803235,9.511821906005963,0.28352155787835265,221,20.338982690915675,318,10,32.106689151004645
1.9077311974771387,121,955,6,1,0.8293926078123093,93,4.499366682525245,11.544803959565781,0.26422405336094634,243,21.106720534068966,61,10,43.08570368127727
1.7334008052074839,174,1396,8,1,0.0,89,3.685194681308304,10.74286303101737,0.3565952895387163,236,26.851578644452715,120,0,34.92062938327939
1.7802490270028883,255,1770,5,1,0.0,91,4.13684592127131,10.792404356035268,0.3457847967363778,243,25.48035530711087,68,0,34.64728088376819
2.4261562501588663,250,1505,8,4,0.0,87,3.3788800488230355,9.072916155619737,0.25785190401127545,205,27.599185558356645,533,0,23.788840816836554
2.28852023366966,200,1376,4,1,1.1330831864354338,93,3.8334745112338044,8.261842199796359,0.2976525817063366,208,2.1079553216664166,160,10,30.29724999910367
2.3267127024380705,222,1616,12,6,0.0,93,4.250242469578585,12.932578236432084,0.47962903646192706,229,30.461916120348196,248,0,32.84312614774704
2.341489700727209,301,1875,4,10,0.9149480156717213,87,3.6987513129140503,11.424057667253477,0.3488355378766762,205,26.70476491520187,280,10,22.348987931602068
4.261310151525097,216,927,6,17,0.0,93,3.283328454289997,9.393440629969339,0.3413556475086203,220,20.56264253576933,1175,15,25.919956852247076
1.7467462022464124,270,1463,6,9,0.0,87,2.9426881229782724,9.086724784059996,0.3050322384069593,248,23.78230911388431,18,10,25.098962899949377
1.6832308049689577,189,1506,4,2,1.3659003262189395,87,2.305686034891157,9.772801951622304,0.3567401480276444,214,13.074882658144578,186,10,31.909210793186627
1.514642662968605,229,2119,4,21,0.0,87,3.740628053268023,11.874005761822623,0.22,200,10.762792910347704,42,85,23.34748838680556
