engine_size,horsepower,weight,cylinders,age,turbo_pressure,fuel_octane,drivetrain_ratio,targets
1.447534278148919,142,1977,4,1,1.6760469757491363,87,3.0574029118021175,34.62196953178081
1.7256306446572285,417,1488,4,12,1.5314886414406483,87,2.987972633243956,29.255096713436902
3.4444083022921133,275,1995,4,3,1.3988997702369335,91,4.416782299397561,27.709128313404175
1.7020744501321754,196,1639,4,0,0.0,89,3.938737338400546,40.72297249528454
2.338713556862262,137,1086,6,6,0.5341608553362385,87,3.7248211616339906,32.751632491696675
1.9456517755802807,370,1190,6,14,0.0,91,4.5151947835370585,31.414984229041025
2.1088791041279147,203,1844,6,2,0.3,93,4.1658459083770465,32.64606918326652
3.6671672397205652,248,1230,4,5,0.0,95,3.5652389493742276,40.442424914090694
2.26817180048402,150,1313,4,0,0.8357422203222271,89,3.8145880584667426,38.65922013981991
2.0169845139908404,395,1248,8,4,1.2775923542046,93,2.9590691105437976,29.38190360719586
1.6388975964701806,177,1319,8,18,1.35525925540717,91,3.344915029047098,30.74584277048075
2.1801540440293845,243,1724,8,2,0.9602519977679095,93,4.350759790029574,27.497183252148616
0.9842099579873621,180,1654,4,9,0.0,89,3.361551288549872,37.76352345202575
1.829889239260949,161,1923,10,4,0.0,87,3.8201122444247058,29.590207370531964
2.208599425390761,240,1722,8,3,0.0,93,4.374431694109346,29.622356360185993
2.0467576793708075,147,1665,10,4,0.9990518269222579,87,3.4088976879734734,28.769230652635095
2.939114794769227,287,900,6,5,1.72843042306257,87,3.3674677512307905,25.488014527811213
2.057459044112258,240,1804,6,5,1.1036529779210003,87,3.7012292839528174,27.55509421894258
1.82606933235093,256,1590,10,1,0.9827423876092392,87,2.9808710630015214,27.090821677057548
3.9169797648811424,216,1187,10,5,0.0,95,3.035347841030863,30.031243848608067
2.520678586616466,252,1766,6,1,1.5126401358836845,93,3.740679290980242,30.168670351089748
1.1008350704534995,165,1660,6,0,0.0,89,4.555859677809252,38.31875548717906
2.0488405350193934,235,1223,8,0,0.0,93,3.8672336982628224,35.24407789997898
2.8555335307572167,189,1057,4,3,1.6366478779222509,91,4.18354448152928,36.231974453541525
3.6770995103893873,431,1563,4,7,0.0,87,3.4254324915155725,29.49907877793277
2.057455903633423,126,1536,6,1,1.7051803107989665,87,3.8972698939249866,31.608754601117717
1.8300396259362832,324,1803,8,1,0.6609145596026414,87,3.2395215841832687,27.19777156393559
1.4682716916829681,210,1719,5,20,0.9144457761858555,87,3.4467148809497914,31.41421683293997
2.0975414479445385,291,1546,3,9,0.8923598729516324,89,3.1345592791580774,34.40836931449982
1.7468382291947697,292,1922,6,0,0.0,95,2.901540713588966,37.88840431452097
1.5748445468869008,305,1893,6,0,1.7471653894627597,87,3.6670691365187045,29.55063307082544
2.07487181440037,600,2387,8,0,1.4358381085918202,95,3.0872173391774784,26.372451804353382
2.0394239094987854,108,1602,4,5,0.0,87,3.9921015349304056,38.26119026119834
1.8645744968784206,278,1901,12,8,0.0,95,4.370999310538516,34.361410295515256
2.3993963371352605,110,1486,4,3,1.4034412076155975,91,3.1025704857612584,37.95950193928425
1.0215352377095275,177,2288,8,5,1.2747270343851904,87,3.508809292387031,24.947597507399614
1.3141114021763158,206,1796,6,2,1.5315204784466476,95,2.810544655848375,34.95971331078409
1.2545225186036202,347,1541,4,0,0.0,95,3.0223669642221203,42.161376360448955
1.4025663997955995,236,2143,8,30,1.2479525337943589,87,3.4562814315726604,22.90813934940464
1.9223055405914091,241,1495,8,7,0.0,91,4.353159929307,29.469658643204642
3.2498352683754392,284,900,4,3,0.0,87,3.4413065605252893,34.984131708363456
2.8013665993789894,282,1188,4,6,0.0,91,3.4416255364385955,35.05846248959197
2.3085367843890903,252,1703,12,2,0.0,87,2.7036403290131217,31.930671823030924
4.191556448150082,227,1381,6,1,1.1724455633544129,87,3.6048326873776673,22.948297336816523
1.4040822804935855,429,1703,12,0,0.0,91,3.854645478237544,35.572752593856634
1.926375745830168,255,1462,6,7,1.0829438801482192,93,2.970491679246856,34.40502778756719
1.3485792334882496,254,2074,10,6,1.2342004141157588,95,3.1979487196436924,29.567426825245235
1.6537360639973782,295,1691,8,4,0.0,87,3.380630554857678,27.840285626056314
1.4187586834196737,231,1849,4,4,0.0,89,3.5463583762825257,37.096652023045586
1.7238833895289318,326,1857,3,1,0.0,91,2.94589439756294,38.30360788440132
2.2452949147256764,146,1732,4,11,0.0,91,3.2155044038138563,38.09481810612587
2.1201545885766175,221,2276,8,3,0.0,89,3.029804547947763,27.534561249639747
2.2711458093461436,235,1530,12,0,1.7089935650309633,91,4.0051070068734855,30.53208815970204
1.9529372093792143,389,1693,4,13,0.0,87,3.0261784363308544,32.834696772839415
3.1919083253005454,179,1611,4,8,0.0,87,3.296838360646524,33.06699586934914
1.3001405532063286,184,1047,6,1,0.0,87,3.9339389432753538,37.69201390104174
2.3234278645326096,232,1488,6,3,0.0,87,2.477938273735594,33.081251870942104
3.3405789059316953,269,900,6,11,0.0,89,4.0587081499655655,31.190944048094337
3.0146154852395544,320,965,4,0,1.8481516106829134,91,4.1084599904486225,34.942000332119754
1.8219953719589814,212,900,6,6,0.0,91,3.5178181798161194,39.63943974163415
1.4798064818462269,239,1470,6,8,0.0,91,3.473832379662292,35.370261479984784
1.5737473570869882,215,1215,5,3,0.0,91,3.9242667091730956,40.83477375513014
3.123187868137857,170,1902,6,4,0.0,89,3.1143727986958196,29.135757682587073
1.5659109702885716,240,900,8,1,0.0,89,3.8953639664513884,35.686737839378054
3.084301411671274,274,1117,4,1,0.5442060332841373,95,3.16847246367782,39.22102195507913
1.329709228435874,146,1447,4,5,0.0,89,4.2884505156134,41.69769547720365
1.3549477740803058,191,1290,4,7,1.337307071647285,87,4.249728071916289,36.93622435581033
5.682413607720271,222,1300,4,2,1.826266510574051,95,3.6679196615707244,28.872725223953385
1.5494645516213021,291,900,4,0,1.302248351287124,95,2.6162651471833303,42.400132143493614
2.3460111730852837,202,1717,4,10,0.7582518113222403,89,4.291550850075143,33.0117616137071
2.0121623054936038,283,1003,8,6,1.1866295638009814,91,2.371181575208456,29.59115587042263
2.6642775903100753,197,1344,6,1,0.6717555397270213,89,4.542000816269262,33.40223949638128
2.704519879539414,412,1309,4,3,0.0,87,4.1789924139842896,33.46358446559837
4.645266373943863,446,1208,6,1,0.0,87,3.380672923764166,23.98923099876737
1.5131491202119605,150,1249,4,16,0.0,89,2.4498362077074605,39.2488443848818
